date,usd_lkr_rate,inflation_yoy_pct
2019-01-01,182.13,3.7
2019-02-01,178.73,4.0
2019-03-01,178.43,4.3
2019-04-01,174.8,4.5
2019-05-01,176.44,5.0
2019-06-01,176.59,3.8
2019-07-01,175.99,3.3
2019-08-01,177.97,3.4
2019-09-01,180.78,5.0
2019-10-01,181.45,5.4
2019-11-01,180.37,4.4
2019-12-01,181.25,4.8
2020-01-01,181.4,5.7
2020-02-01,181.56,6.2
2020-03-01,185.06,5.4
2020-04-01,193.09,5.2
2020-05-01,187.87,4.0
2020-06-01,185.95,3.9
2020-07-01,185.85,4.2
2020-08-01,184.89,4.1
2020-09-01,185.03,4.0
2020-10-01,184.44,4.0
2020-11-01,184.79,4.1
2020-12-01,187.18,4.2
2021-01-01,190.49,3.0
2021-02-01,194.07,3.3
2021-03-01,196.98,4.1
2021-04-01,197.42,3.9
2021-05-01,199.58,4.5
2021-06-01,199.82,5.2
2021-07-01,199.98,5.7
2021-08-01,200.5,6.0
2021-09-01,201.99,5.7
2021-10-01,201.09,7.6
2021-11-01,201.86,9.9
2021-12-01,201.4,12.1
2022-01-01,201.46,14.2
2022-02-01,201.74,15.1
2022-03-01,255.81,18.7
2022-04-01,319.44,29.8
2022-05-01,358.94,39.1
2022-06-01,360.24,54.6
2022-07-01,360.87,60.8
2022-08-01,361.0,64.3
2022-09-01,362.38,69.8
2022-10-01,363.15,66.0
2022-11-01,363.39,61.0
2022-12-01,363.17,57.2
2023-01-01,362.42,54.2
2023-02-01,361.98,50.6
2023-03-01,329.47,50.3
2023-04-01,321.42,35.3
2023-05-01,310.16,25.2
2023-06-01,301.26,12.0
2023-07-01,319.29,6.3
2023-08-01,321.58,4.0
2023-09-01,322.77,1.3
2023-10-01,324.73,1.5
2023-11-01,328.25,3.4
2023-12-01,326.74,4.0
2024-01-01,321.17,6.4
2024-02-01,312.58,5.9
2024-03-01,305.66,0.9
2024-04-01,299.42,1.5
2024-05-01,299.69,0.9
2024-06-01,303.81,1.7
2024-07-01,303.76,2.4
2024-08-01,300.67,0.5
2024-09-01,301.15,-0.5
2024-10-01,293.79,-0.8
2024-11-01,292.01,-2.1
2024-12-01,291.68,-1.7
2025-01-01,296.18,-4.0
2025-02-01,296.8,-4.2
2025-03-01,295.91,-2.6
2025-04-01,298.53,-2.0
2025-05-01,299.41,-0.7
2025-06-01,299.9,-0.6
2025-07-01,301.12,-0.3
2025-08-01,301.12,1.2
