date,usd_lkr_rate
2019-01-01,182.13
2019-02-01,178.73
2019-03-01,178.43
2019-04-01,174.8
2019-05-01,176.44
2019-06-01,176.59
2019-07-01,175.99
2019-08-01,177.97
2019-09-01,180.78
2019-10-01,181.45
2019-11-01,180.37
2019-12-01,181.25
2020-01-01,181.4
2020-02-01,181.56
2020-03-01,185.06
2020-04-01,193.09
2020-05-01,187.87
2020-06-01,185.95
2020-07-01,185.85
2020-08-01,184.89
2020-09-01,185.03
2020-10-01,184.44
2020-11-01,184.79
2020-12-01,187.18
2021-01-01,190.49
2021-02-01,194.07
2021-03-01,196.98
2021-04-01,197.42
2021-05-01,199.58
2021-06-01,199.82
2021-07-01,199.98
2021-08-01,200.5
2021-09-01,201.99
2021-10-01,201.09
2021-11-01,201.86
2021-12-01,201.4
2022-01-01,201.46
2022-02-01,201.74
2022-03-01,255.81
2022-04-01,319.44
2022-05-01,358.94
2022-06-01,360.24
2022-07-01,360.87
2022-08-01,361.0
2022-09-01,362.38
2022-10-01,363.15
2022-11-01,363.39
2022-12-01,363.17
2023-01-01,362.42
2023-02-01,361.98
2023-03-01,329.47
2023-04-01,321.42
2023-05-01,310.16
2023-06-01,301.26
2023-07-01,319.29
2023-08-01,321.58
2023-09-01,322.77
2023-10-01,324.73
2023-11-01,328.25
2023-12-01,326.74
2024-01-01,321.17
2024-02-01,312.58
2024-03-01,305.66
2024-04-01,299.42
2024-05-01,299.69
2024-06-01,303.81
2024-07-01,303.76
2024-08-01,300.67
2024-09-01,301.15
2024-10-01,293.79
2024-11-01,292.01
2024-12-01,291.68
2025-01-01,296.18
2025-02-01,296.8
2025-03-01,295.91
2025-04-01,298.53
2025-05-01,299.41
2025-06-01,299.9
2025-07-01,301.12
2025-08-01,301.12
